frame,time,handle_visible,visibility,visible_side,occlusion_reason,handle_shape_visible,handle_body_relation,hand_contact_visible,hand_contact_part,handle_contact,body_contact,rim_contact,hand_occludes_handle,body_self_occludes_handle,yaw_anchor_quality,recommended_visibility_constraint,confidence,short_reason
101,4.166667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body itself."
106,4.375000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
111,4.583333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
116,4.791667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
121,5.000000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
126,5.208333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
131,5.416667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
136,5.625000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
141,5.833333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
146,6.041667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
151,6.250000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
156,6.458333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
33,1.333333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
34,1.375000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
36,1.458333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
64,2.625000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body, hand is on mug body, not handle."
67,2.750000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body, hand is on mug body, not handle."
69,2.833333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand is on mug body, not handle."
72,2.958333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,True,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
77,3.166667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,True,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
82,3.375000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
86,3.541667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body, hand is on mug body, not handle."
89,3.666667,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, with hand gripping it."
90,3.708333,True,visible,right,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on the right side, with hand gripping it."
100,4.125000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
118,4.875000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, making it fully visible and unoccluded."
132,5.458333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle of the mug, with the handle fully visible and not occluded."
155,6.416667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making handle contact and visibility certain."
