query_id,case_name,stage,frame,start_frame,end_frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy,evidence_sha256,visual_factor_roles,contact_factor_roles,candidate_a_role,candidate_b_role,semantic_predicate,subject_entity,object_entity
stage2:contact_relation_check:00121-00121,pingpong_wall,stage2,121,121,121,5.000000,contact_relation_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_contact_relation_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,paddle_face|practice_wall|no_contact|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,16b21b5d137ef33d94ee97f320c12fe0c89e55673a47592b53d81f1ac7329616,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00011-00011,pingpong_wall,stage2,11,11,11,0.416667,keypart_visibility_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00011_keypart_visibility_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00011_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single physical white ping-pong ball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,15f989676fae9cfe21792d238f10541105e9d08e37ae6fabf6e8d8913d14fdc4,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00177-00177,pingpong_wall,stage2,177,177,177,7.333333,keypart_visibility_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00177_keypart_visibility_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00177_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single physical white ping-pong ball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,2ce75349b47515e76c28a00b0a665394e7f0fe6cefa29034561d0ce4b4175d17,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00229-00229,pingpong_wall,stage2,229,229,229,9.500000,keypart_visibility_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00229_keypart_visibility_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00229_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single physical white ping-pong ball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,4dc331bdc35077b03a04c47031eb543ca2097afec9cece62a687b38f6f388d0a,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00001-00001,pingpong_wall,stage2,1,1,1,0.000000,keypart_visibility_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single physical white ping-pong ball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,c591281ffc0341ea1bf87afeb77ec025ec785bb889ac2b83ab65d634c4c1f795,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00121-00121,pingpong_wall,stage2,121,121,121,5.000000,keypart_visibility_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_keypart_visibility_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single physical white ping-pong ball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,16b21b5d137ef33d94ee97f320c12fe0c89e55673a47592b53d81f1ac7329616,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage3:overlay_alignment_check:00001-00001,pingpong_wall,stage3,1,1,1,0.000000,overlay_alignment_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00001_overlay_alignment_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00001_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,686e32ed5b4ab60a7409b44e80f7f821ce427aac78e487bc0fa56d6d0ebdb20c,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage3:overlay_alignment_check:00121-00121,pingpong_wall,stage3,121,121,121,5.000000,overlay_alignment_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00121_overlay_alignment_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00121_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,9aa331ea96cf8aaff659d4021b037d0ee6e6964439c670109d4f6ee129177caa,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage3:overlay_alignment_check:00240-00240,pingpong_wall,stage3,240,240,240,9.958333,overlay_alignment_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00240_overlay_alignment_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage3/evidence/frame00240_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,5a29036bb49ea077509b62a5f6153bca29ee8a4c4b790bfb924879fcae25850a,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:anchor_update_check:00001-00001,pingpong_wall,stage4,1,1,1,,anchor_update_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_anchor_update_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: the dark render is the predicted object geometry, the green overlay is the visual object measurement, yellow marks are active read-only human contact sites, and gray marks are inactive sites. Does the predicted object preserve both visible alignment and active contact without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,df9738edfe44fca498fd0f3d2098f4d14d10e2a4a2da5a76b8ecb95a00d96b81,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:contact_relation_check:00001-00001,pingpong_wall,stage4,1,1,1,,contact_relation_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_contact_relation_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,paddle_face|practice_wall|no_contact|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,d23fa44dc1a041177e730d4ee6558d981f05f47ddbda4530ecffacd4f5438fdb,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:overlay_alignment_check:00001-00001,pingpong_wall,stage4,1,1,1,,overlay_alignment_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_overlay_alignment_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,686e32ed5b4ab60a7409b44e80f7f821ce427aac78e487bc0fa56d6d0ebdb20c,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:temporal_motion_check:00001-00001,pingpong_wall,stage4,1,1,1,,temporal_motion_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_temporal_motion_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00001_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the predicted object geometry and visual object measurement move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,ff1bf1001c7e7925bd1cf25d921953c4d58860b85f967d717b8e6403740e67c3,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:constraint_reliability_check:00011-00011,pingpong_wall,stage4,11,11,11,0.416667,constraint_reliability_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00011_constraint_reliability_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00011_constraint_reliability_check.png,visual_contact_constraint_temporal_overlay,"Judge each overlay against the physical object pixels, not against the dark render. The green overlay is a visual object measurement. Yellow marks are active human contact sites from a read-only body estimate. Use this rubric: choose both_consistent when green follows the visible physical object and every yellow active site lies on that same object at a plausible hand contact; choose visual_observation_reliable when green follows the physical object but a yellow site is visibly off it; choose contact_relation_reliable when yellow sites lie on the physical object but green tracks the wrong location, extent, or angle; otherwise choose unclear. Never choose visual_observation_reliable merely because green agrees with the dark render.",both_consistent|visual_observation_reliable|contact_relation_reliable|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,c7ef19100340b7e4ef0c97e40e08793418a828782f5aaa9e443a00fc17a46b70,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:constraint_reliability_check:00038-00038,pingpong_wall,stage4,38,38,38,1.541667,constraint_reliability_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00038_constraint_reliability_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00038_constraint_reliability_check.png,visual_contact_constraint_temporal_overlay,"Judge each overlay against the physical object pixels, not against the dark render. The green overlay is a visual object measurement. Yellow marks are active human contact sites from a read-only body estimate. Use this rubric: choose both_consistent when green follows the visible physical object and every yellow active site lies on that same object at a plausible hand contact; choose visual_observation_reliable when green follows the physical object but a yellow site is visibly off it; choose contact_relation_reliable when yellow sites lie on the physical object but green tracks the wrong location, extent, or angle; otherwise choose unclear. Never choose visual_observation_reliable merely because green agrees with the dark render.",both_consistent|visual_observation_reliable|contact_relation_reliable|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,b9692579b039d26f0328ee56c43e8e9c837b6977ba1537bcee084a2322af48f0,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:constraint_reliability_check:00110-00110,pingpong_wall,stage4,110,110,110,4.541667,constraint_reliability_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00110_constraint_reliability_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00110_constraint_reliability_check.png,visual_contact_constraint_temporal_overlay,"Judge each overlay against the physical object pixels, not against the dark render. The green overlay is a visual object measurement. Yellow marks are active human contact sites from a read-only body estimate. Use this rubric: choose both_consistent when green follows the visible physical object and every yellow active site lies on that same object at a plausible hand contact; choose visual_observation_reliable when green follows the physical object but a yellow site is visibly off it; choose contact_relation_reliable when yellow sites lie on the physical object but green tracks the wrong location, extent, or angle; otherwise choose unclear. Never choose visual_observation_reliable merely because green agrees with the dark render.",both_consistent|visual_observation_reliable|contact_relation_reliable|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,93538ed2c29fc718708387fcfead028c5d7745b94e8659b97db1ba8c304ace76,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage4:constraint_reliability_check:00177-00177,pingpong_wall,stage4,177,177,177,7.333333,constraint_reliability_check,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00177_constraint_reliability_check.png,samples_known_object/14_pingpong_wall/results/final_full_4d_hoi/vlm/stage4/evidence/frame00177_constraint_reliability_check.png,visual_contact_constraint_temporal_overlay,"Judge each overlay against the physical object pixels, not against the dark render. The green overlay is a visual object measurement. Yellow marks are active human contact sites from a read-only body estimate. Use this rubric: choose both_consistent when green follows the visible physical object and every yellow active site lies on that same object at a plausible hand contact; choose visual_observation_reliable when green follows the physical object but a yellow site is visibly off it; choose contact_relation_reliable when yellow sites lie on the physical object but green tracks the wrong location, extent, or angle; otherwise choose unclear. Never choose visual_observation_reliable merely because green agrees with the dark render.",both_consistent|visual_observation_reliable|contact_relation_reliable|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,763fe3ec689d929ff57b4bf0f1d39d05f3860361a0bbcb7649fea3f03d20b77a,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
